source,target
1627816,1628035
1627819,101127
1627819,1628443
1627819,201938
1627820,201974
1627821,1628400
1627821,1629061
1627821,1626148
1627823,1627846
1627823,101107
1627827,203921
1627832,201943
1627835,1628470
1627846,203516
1627848,1628963
1627848,1628381
1627851,951
1627851,202718
1627853,2550
1627853,1747
1627853,202721
1627854,978
1627854,1628379
1627855,202498
1627855,1628411
1627858,2555
1627858,202723
1627863,203459
1627883,201960
1627883,201956
1627884,1628021
1627884,203940
1627885,1627761
1627885,1626153
1627936,201986
1627988,1628969
1627988,1904
1627988,1629001
1628021,201970
1628035,1628391
1628365,203901
1628365,202397
1628366,1626166
1628366,201976
1628367,1628369
1628367,202693
1628370,101123
1628370,101139
1628371,203120
1628372,1628455
1628373,1747
1628373,1629059
1628374,1733
1628374,1628398
1628378,203078
1628378,202689
1628379,1628422
1628379,951
1628380,1627816
1628380,203488
1628381,1628963
1628381,1628418
1628382,101120
1628382,101214
1628382,203138
1628384,1628404
1628384,1740
1628385,708
1628386,1628976
1628389,203469
1628391,1627823
1628391,101107
1628395,1626172
1628395,203124
1628398,203930
1628398,203967
1628400,101214
1628400,2052
1628401,1628983
1628401,2738
1628401,1503
1628402,202390
1628402,1627782
1628405,200746
1628405,2216
1628405,203944
1628407,101120
1628407,204037
1628409,1629151
1628409,1628510
1628409,202337
1628411,1628971
1628411,203524
1628412,1628443
1628413,1628467
1628413,203998
1628413,202725
1628414,2059
1628415,2406
1628416,203925
1628416,201158
1628416,202390
1628417,203133
1628417,204037
1628418,2200
1628420,101109
1628420,2590
1628424,202708
1628425,202341
1628425,1628384
1628425,2440
1628436,202722
1628436,101112
1628436,201980
1628439,101138
1628443,201938
1628443,1626170
1628455,2240
1628462,2749
1628462,101249
1628462,201985
1628463,1628391
1628463,1628035
1628463,1627863
1628464,1628976
1628467,203488
1628469,202711
1628469,1628402
1628469,2207
1628495,202697
1628495,1897
1628495,1626169
1628503,101214
1628503,714
1628503,203111
1628510,1629151
1628515,202388
1628515,203489
1628515,2306
1628537,101155
1628537,1626155
1628537,1626159
1628681,2446
1628681,1628382
1628681,203098
1628959,1628503
1628959,203111
1628959,1628407
1628960,200755
1628960,203501
1628960,201569
1628963,201578
1628964,1626167
1628964,203089
1628969,202697
1628969,1897
1628969,202066
1628970,201948
1628970,2440
1628970,202335
1628971,201964
1628971,200081
1628973,202688
1628975,201164
1628976,201582
1628977,1628021
1628977,201175
1628978,1628404
1628978,2756
1628978,204038
1628984,2229
1628984,201985
1628984,2742
1628988,203992
1628988,201166
1628988,1713
1628989,204038
1628989,2067
1628990,101153
1628990,203948
1628990,101211
1628991,201572
1628991,101235
1628995,202694
1629001,101179
1629001,201979
1629001,1626145
1629004,204038
1629004,200789
1629004,1629130
1629006,1897
1629006,203900
1629011,202336
1629011,201580
1629011,1626257
1629012,2732
1629012,2072
1629013,2594
1629013,1629244
1629013,203925
1629016,2440
1629016,2209
1629019,202692
1629019,203462
1629021,1626163
1629021,1626168
1629021,203932
1629026,2209
1629026,1626169
1629027,202738
1629027,203081
1629027,1629029
1629028,2430
1629029,203081
1629033,1628978
1629033,1626179
1629033,2756
1629034,1626204
1629034,202332
1629059,2550
1629061,1628400
1629061,1626253
1629066,1627774
1629066,200760
1629102,1628384
1629109,200761
1629109,2203
1629109,2209
1629121,2581
1629121,1710
