PLAYER_NAME,ID,GAMES,SEASONS,group
Kyle Singler,202713,355,6,1
Shelvin Mack,202714,456,8,3
Jordan Williams,202716,43,1,0
Chandler Parsons,202718,435,8,4
Jon Leuer,202720,377,8,2
Darius Morris,202721,132,4,3
Davis Bertans,202722,220,3,4
Malcolm Lee,202723,36,3,3
Charles Jenkins,202724,109,2,3
Josh Harrellson,202725,75,3,0
Lavoy Allen,202730,388,6,0
DeAndre Liggins,202732,177,5,3
E'Twaun Moore,202734,513,8,4
Isaiah Thomas,202738,483,8,6
Dwight Buycks,202779,49,3,3
Cory Higgins,202809,44,2,2
Jeremy Pargo,202951,83,2,3
Greg Smith,202962,149,5,0
Gustavo Ayon,202970,134,3,0
Anthony Davis,203076,465,7,5
Michael Kidd-Gilchrist,203077,421,7,2
Bradley Beal,203078,488,7,6
Dion Waiters,203079,407,7,4
Thomas Robinson,203080,312,5,5
Damian Lillard,203081,547,7,6
Terrence Ross,203082,490,7,4
Andre Drummond,203083,540,7,5
Harrison Barnes,203084,537,7,2
Austin Rivers,203085,484,7,4
Meyers Leonard,203086,391,7,1
Jeremy Lamb,203087,435,7,2
Kendall Marshall,203088,160,4,3
John Henson,203089,404,7,5
Maurice Harkless,203090,474,7,2
Tyler Zeller,203092,411,7,0
Terrence Jones,203093,234,6,5
Andrew Nicholson,203094,284,5,0
Evan Fournier,203095,457,7,4
Jared Sullinger,203096,269,5,5
John Jenkins,203098,171,6,4
Tony Wroten,203100,144,4,6
Miles Plumlee,203101,346,7,0
Arnett Moultrie,203102,59,2,0
Perry Jones III,203103,142,3,1
Festus Ezeli,203105,168,3,0
Jeffery Taylor,203106,132,3,2
Tomas Satoransky,203107,210,3,3
Jae Crowder,203109,541,7,4
Draymond Green,203110,530,7,3
Orlando Johnson,203111,103,3,1
Quincy Acy,203112,336,7,1
Quincy Miller,203113,69,3,1
Khris Middleton,203114,455,7,4
Will Barton,203115,436,7,2
Doron Lamb,203117,100,2,1
Mike Scott,203118,436,7,4
Justin Hamilton,203120,113,3,2
Darius Miller,203121,252,5,1
Kostas Papanikolaou,203123,69,2,1
Kyle O'Quinn,203124,442,7,0
Furkan Aldemir,203128,41,1,0
Robbie Hummel,203133,98,2,1
Robert Sacre,203135,189,4,0
Hollis Thompson,203138,265,4,1
Mirza Teletovic,203141,323,6,4
Chris Copeland,203142,171,4,4
Pablo Prigioni,203143,269,4,3
Alexey Shved,203144,182,3,6
Kent Bazemore,203145,483,7,6
Brian Roberts,203148,314,5,3
Henry Sims,203156,135,4,0
Kevin Jones,203158,32,1,0
Willie Reed,203186,152,3,5
Chris Johnson,203187,147,4,1
Diante Garrett,203197,90,2,3
DeQuan Jones,203199,62,1,2
Justin Holiday,203200,355,6,4
JaMychal Green,203210,299,5,0
Jorge Gutierrez,203268,47,3,3
Aron Baynes,203382,427,7,0
Nerlens Noel,203457,299,5,5
Alex Len,203458,412,6,5
Allen Crabbe,203459,343,6,4
Andre Roberson,203460,294,5,1
Anthony Bennett,203461,151,4,0
Archie Goodwin,203462,165,4,6
Ben McLemore,203463,368,6,4
CJ McCollum,203468,410,6,4
Cody Zeller,203469,361,6,0
Dennis Schroder,203471,430,6,6
Dewayne Dedmon,203473,350,6,0
Gorgui Dieng,203476,451,6,0
Isaiah Canaan,203477,235,6,4
Jeff Withey,203481,207,5,0
Kelly Olynyk,203482,432,6,2
Kentavious Caldwell-Pope,203484,469,6,4
Lorenzo Brown,203485,103,5,3
Mason Plumlee,203486,470,6,5
Michael Carter-Williams,203487,315,6,6
Mike Muscala,203488,306,6,1
Nate Wolters,203489,84,3,3
Otto Porter Jr.,203490,399,6,2
Ray McCallum,203492,154,3,3
Reggie Bullock,203493,270,6,4
Robert Covington,203496,326,6,4
Rudy Gobert,203497,406,6,5
Shabazz Muhammad,203498,277,5,2
Shane Larkin,203499,255,4,3
Steven Adams,203500,465,6,5
Tim Hardaway Jr.,203501,402,6,4
